Title,Price,Rating
Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People,33.99,4.6
"Go for DevOps: Learn how to use the Go language to automate servers, the cloud, Kubernetes, GitHub, Packer, and Terraform",53.99,4.7
"Mastering Go: Harness the power of Go to build professional utilities and concurrent servers and services, 3rd Edition",49.39,4.4
"Game Development Patterns with Unity 2021: Explore practical game development using software design patterns and best practices in Unity and C#, 2nd Edition",36.99,4.5
Hands-On Software Architecture with Golang: Design and architect highly scalable and robust applications using Go,51.99,4.3
"Mastering Go: Create Golang production applications using network libraries, concurrency, machine learning, and advanced data structures, 2nd Edition",62.99,4.3
Learn Data Structures and Algorithms with Golang: Level up your Go programming skills to develop faster and more efficient code,21.99,3.7
Graphic Go Algorithms: Graphically learn data structures and algorithms better than before (Easy Learning Golang Programming Foundation Data Structures and Algorithms),48.99,4.0
"Go Programming Language, The (Addison-Wesley Professional Computing Series)",35.99,4.7
Learning Go: An Idiomatic Approach to Real-World Go Programming,43.49,4.7
100 Go Mistakes and How to Avoid Them,48.49,4.9
100 Go Mistakes and How to Avoid Them,48.49,4.9
"Distributed Services with Go: Your Guide to Reliable, Scalable, and Maintainable Systems",35.49,4.6
"Go for DevOps: Learn how to use the Go language to automate servers, the cloud, Kubernetes, GitHub, Packer, and Terraform",53.99,4.7
Concurrency in Go: Tools and Techniques for Developers,49.99,4.5
Pro Go: The Complete Guide to Programming Reliable and Efficient Software Using Golang,18.00,4.3
Go in Practice: Includes 70 Techniques,44.99,4.5
Powerful Command-Line Applications in Go: Build Fast and Maintainable Tools,39.49,4.8
Building Microservices: Designing Fine-Grained Systems,55.01,4.7
Guide to Competitive Programming: Learning and Improving Algorithms Through Contests (Undergraduate Topics in Computer Science),40.47,4.8
"Good Code, Bad Code: Think like a software engineer",49.99,4.9
"Software Architecture Patterns for Serverless Systems: Architecting for innovation with events, autonomous services, and micro frontends",45.00,4.8
Go Mini Reference: A Quick Guide to the Go Programming Language for Busy Coders (A Hitchhiker's Guide to the Modern Programming Languages),16.95,5.0
