Title,Price,Rating
"Modern Java in Action: Lambdas, streams, functional and reactive programming",54.99,(4.5)
End-to-End Web Testing with Cypress: Explore techniques for automated frontend web testing with Cypress and JavaScript,46.99,(3.7)
JavaScript: The Comprehensive Guide to Learning Professional JavaScript Programming,57.45,(5.0)
Head First Java: A Brain-Friendly Guide,22.76,(4.9)
Effective Java,49.49,(4.7)
"Java: The Complete Reference, Twelfth Edition",19.50,(4.7)
"Core Java: Fundamentals, Volume 1 (Oracle Press Java)",44.96,(4.8)
Java For Dummies (For Dummies (Computer/Tech)),22.49,(4.5)
Learning Java: An Introduction to Real-World Programming with Java,32.69,(4.4)
Java: Learn Java in One Day and Learn It Well. Java for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project),11.67,(4.5)
Learn Java the Easy Way: A Hands-On Introduction to Programming,29.95,(4.5)
Java Coding Problems: Improve your Java Programming skills by solving real-world coding challenges,49.99,(4.5)
Java: The Comprehensive Guide to Java Programming for Professionals,59.25,(4.5)
"Modern Java in Action: Lambdas, streams, functional and reactive programming",54.99,(4.5)
"Head First Java, 2nd Edition",59.99,(4.4)
Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People,33.99,(4.6)
"The Well-Grounded Java Developer, Second Edition",59.99,(5.0)
Murach's Java Programming (6th Edition),41.68,(4.8)
"Learn Java 17 Programming: Learn the fundamentals of Java Programming with this updated guide with the latest features, 2nd Edition",39.99,(5.0)
"Java All-in-One For Dummies, 6th Edition (For Dummies (Computer/Tech))",27.49,(4.5)
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,62.99,(4.3)
"Learn Java 17 Programming: Learn the fundamentals of Java Programming with this updated guide with the latest features, 2nd Edition",39.99,(5.0)
Learn Java: A Crash Course Guide to Learn Java in 1 Week,17.97,(4.2)
Java: Programming Basics for Absolute Beginners (Step-By-Step Java),16.38,(4.2)
"Learn Java: A Crash Course Guide to Learn Java in 1 Week: ( java programming , java for beginners , java programming for beginners, java coding , java )",9.97,(4.2)
"Java: A Beginner's Guide, Ninth Edition",13.05,(4.4)
Think Java: How to Think Like a Computer Scientist,24.49,(4.6)
On Java Road: A Novel,13.99,(4.1)
"Java Performance: In-Depth Advice for Tuning and Programming Java 8, 11, and Beyond",20.50,(4.6)
Java: 3 Books in 1: Java Basics for Beginners + Java Front End Programming + Java Back End Programming,0.00,(4.6)
Java Design Patterns: A Hands-On Experience with Real-World Examples,54.99,(4.6)
JavaScript: The Comprehensive Guide to Learning Professional JavaScript Programming,57.45,(5.0)
Java in a Nutshell: A Desktop Quick Reference,29.94,(4.4)
OCP Oracle Certified Professional Java SE 17 Developer Study Guide: Exam 1Z0-829,39.00,(4.6)
Java: Programming Basics for Absolute Beginners (Step-By-Step Java),16.38,(4.2)
"Java: The Complete Reference, Eleventh Edition",29.43,(4.6)
Java Concurrency in Practice,47.94,(4.7)
"Learn JavaScript Quickly: A Complete Beginner’s Guide to Learning JavaScript, Even If You’re New to Programming (Crash Course With Hands-On Project)",16.89,(4.5)
Starting Out with Java: From Control Structures through Objects (What's New in Computer Science),36.94,(4.6)
Cracking the Coding Interview: 189 Programming Questions and Solutions,35.95,(4.7)
Java for Fucking Idiots: Learn the Basics of Java Programming Without ANY Experience!,0.00,(4.4)
Java: Basic Fundamental Guide for beginners,15.38,(3.2)
Data Structures and Algorithms in Java,36.99,(4.6)
"Introduction to Java Programming and Data Structures, Comprehensive Version",52.23,(4.7)
Beginning Programming with Java For Dummies,21.99,(4.5)
Java For Beginners 2022: The Best Guide to Start Coding in Java Immediately,29.50,(2.0)
Core Java for the Impatient,47.49,(5.0)
Elements of Programming Interviews in Java: The Insiders' Guide,39.95,(4.6)
"Introduction to Java Programming and Data Structures, Comprehensive Version",32.76,(4.4)
Java para novatos: Cómo aprender programación orientada a objetos con Java sin desesperarse en el intento (Programación para novatos) (Spanish Edition),17.99,(4.4)
Hands-On Artificial Intelligence with Java for Beginners: Build intelligent apps using machine learning and deep learning with Deeplearning4j,24.99,(3.5)
Java Design Pattern Essentials,9.95,(4.5)
Hands-on JavaScript for Python Developers: Leverage your Python knowledge to quickly learn JavaScript and advance your web development career,29.99,(4.5)
"Learn JavaScript Quickly: A Complete Beginner’s Guide to Learning JavaScript, Even If You’re New to Programming (Crash Course With Hands-On Project)",16.89,(4.5)
Developing High-Frequency Trading Systems: Learn how to implement high-frequency trading from scratch with C++ or Java basics,44.99,(4.0)
"Modern Java in Action: Lambdas, streams, functional and reactive programming",54.99,(4.5)
End-to-End Web Testing with Cypress: Explore techniques for automated frontend web testing with Cypress and JavaScript,46.99,(3.7)
JavaScript: The Comprehensive Guide to Learning Professional JavaScript Programming,57.45,(5.0)
Head First Java: A Brain-Friendly Guide,22.76,(4.9)
Effective Java,49.49,(4.7)
"Java: The Complete Reference, Twelfth Edition",19.50,(4.7)
"Core Java: Fundamentals, Volume 1 (Oracle Press Java)",44.96,(4.8)
Java For Dummies (For Dummies (Computer/Tech)),22.49,(4.5)
Learning Java: An Introduction to Real-World Programming with Java,32.69,(4.4)
Java: Learn Java in One Day and Learn It Well. Java for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project),11.67,(4.5)
Learn Java the Easy Way: A Hands-On Introduction to Programming,29.95,(4.5)
Java Coding Problems: Improve your Java Programming skills by solving real-world coding challenges,49.99,(4.5)
Java: The Comprehensive Guide to Java Programming for Professionals,59.25,(4.5)
"Modern Java in Action: Lambdas, streams, functional and reactive programming",54.99,(4.5)
"Head First Java, 2nd Edition",59.99,(4.4)
Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People,33.99,(4.6)
"The Well-Grounded Java Developer, Second Edition",59.99,(5.0)
Murach's Java Programming (6th Edition),41.68,(4.8)
"Learn Java 17 Programming: Learn the fundamentals of Java Programming with this updated guide with the latest features, 2nd Edition",39.99,(5.0)
"Java All-in-One For Dummies, 6th Edition (For Dummies (Computer/Tech))",27.49,(4.5)
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,62.99,(4.3)
"Learn Java 17 Programming: Learn the fundamentals of Java Programming with this updated guide with the latest features, 2nd Edition",39.99,(5.0)
Learn Java: A Crash Course Guide to Learn Java in 1 Week,17.97,(4.2)
Java: Programming Basics for Absolute Beginners (Step-By-Step Java),16.38,(4.2)
"Learn Java: A Crash Course Guide to Learn Java in 1 Week: ( java programming , java for beginners , java programming for beginners, java coding , java )",9.97,(4.2)
"Java: A Beginner's Guide, Ninth Edition",13.05,(4.4)
Think Java: How to Think Like a Computer Scientist,24.49,(4.6)
On Java Road: A Novel,13.99,(4.1)
"Java Performance: In-Depth Advice for Tuning and Programming Java 8, 11, and Beyond",20.50,(4.6)
Java: 3 Books in 1: Java Basics for Beginners + Java Front End Programming + Java Back End Programming,0.00,(4.6)
Java Design Patterns: A Hands-On Experience with Real-World Examples,54.99,(4.6)
JavaScript: The Comprehensive Guide to Learning Professional JavaScript Programming,57.45,(5.0)
Java in a Nutshell: A Desktop Quick Reference,29.94,(4.4)
OCP Oracle Certified Professional Java SE 17 Developer Study Guide: Exam 1Z0-829,39.00,(4.6)
Java: Programming Basics for Absolute Beginners (Step-By-Step Java),16.38,(4.2)
"Java: The Complete Reference, Eleventh Edition",29.43,(4.6)
Java Concurrency in Practice,47.94,(4.7)
"Learn JavaScript Quickly: A Complete Beginner’s Guide to Learning JavaScript, Even If You’re New to Programming (Crash Course With Hands-On Project)",16.89,(4.5)
Starting Out with Java: From Control Structures through Objects (What's New in Computer Science),36.94,(4.6)
Cracking the Coding Interview: 189 Programming Questions and Solutions,35.95,(4.7)
Java for Fucking Idiots: Learn the Basics of Java Programming Without ANY Experience!,0.00,(4.4)
Java: Basic Fundamental Guide for beginners,15.38,(3.2)
Data Structures and Algorithms in Java,36.99,(4.6)
"Introduction to Java Programming and Data Structures, Comprehensive Version",52.23,(4.7)
Beginning Programming with Java For Dummies,21.99,(4.5)
Java For Beginners 2022: The Best Guide to Start Coding in Java Immediately,29.50,(2.0)
Core Java for the Impatient,47.49,(5.0)
Elements of Programming Interviews in Java: The Insiders' Guide,39.95,(4.6)
"Introduction to Java Programming and Data Structures, Comprehensive Version",32.76,(4.4)
Java para novatos: Cómo aprender programación orientada a objetos con Java sin desesperarse en el intento (Programación para novatos) (Spanish Edition),17.99,(4.4)
Hands-On Artificial Intelligence with Java for Beginners: Build intelligent apps using machine learning and deep learning with Deeplearning4j,24.99,(3.5)
Java Design Pattern Essentials,9.95,(4.5)
Hands-on JavaScript for Python Developers: Leverage your Python knowledge to quickly learn JavaScript and advance your web development career,29.99,(4.5)
"Learn JavaScript Quickly: A Complete Beginner’s Guide to Learning JavaScript, Even If You’re New to Programming (Crash Course With Hands-On Project)",16.89,(4.5)
Developing High-Frequency Trading Systems: Learn how to implement high-frequency trading from scratch with C++ or Java basics,44.99,(4.0)
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,62.99,39
"Learn Java 17 Programming: Learn the fundamentals of Java Programming with this updated guide with the latest features, 2nd Edition",39.99,10
Java: Programming Basics for Absolute Beginners (Step-By-Step Java),16.38,268
Become an Awesome Software Architect: Book 1: Foundation 2019,49.99,87
Real-World Software Development: A Project-Driven Guide to Fundamentals in Java,40.78,8
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",38.45,694
Java 2 (Quick Study Computer),5.95,146
"Java Language Specification, Java SE 8 Edition, The (Java Series)",35.99,24
"Build Your Own Programming Language: A programmer's guide to designing compilers, interpreters, and DSLs for solving modern computing problems",34.25,37
Design Patterns: Elements of Reusable Object-Oriented Software,53.99,"2,046"
"Java: A Beginner's Guide, Eighth Edition",40.00,422
Microservices Patterns: With Examples in Java,0.00,536
"Spring in Action, Sixth Edition",49.49,38
Data Structures and Algorithms in Java,74.00,111
Murach's Java Programming (5th Edition),20.79,137
End-to-End Web Testing with Cypress: Explore techniques for automated frontend web testing with Cypress and JavaScript,46.99,17
Grokking Functional Programming,59.99,9
JavaScript: The Comprehensive Guide to Learning Professional JavaScript Programming,57.45,5
Learn Java: A Crash Course Guide to Learn Java in 1 Week,17.97,688
Core Java Volume I--Fundamentals (Core Series),18.46,263
"Core Java: Advanced Features, Volume 2 (Oracle Press Java)",52.79,12
Escape from Java: The Extraordinary World War II Story of the USS Marblehead,34.95,9
Java: Advanced Features and Programming Techniques (Step-By-Step Java),16.38,69
Testing Web APIs,59.99,6
Java Methods: Object-Oriented Programming and Data Structures,42.50,1
Patterns of Enterprise Application Architecture,48.57,608
Spring Start Here: Learn what you need and learn it well,49.99,22
Building Java Programs: A Back to Basics Approach,31.19,86
Developing High-Frequency Trading Systems: Learn how to implement high-frequency trading from scratch with C++ or Java basics,44.99,14
"Learn JavaScript Quickly: A Complete Beginner’s Guide to Learning JavaScript, Even If You’re New to Programming (Crash Course With Hands-On Project)",16.89,491
Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language,23.99,105
