Title,Price,Rating
Python Programming for Beginners: The #1 Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises),19.34,4.8
Python 3: The Comprehensive Guide to Hands-On Python Programming,55.48,4.3
"Django 4 By Example: Build powerful and reliable Python web applications from scratch, 4th Edition",49.99,4.7
Python Programming for Beginners: The Most Comprehensive Programming Guide to Become a Python Expert from Scratch in No Time. Includes Hands-On Exercises,18.97,4.7
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",21.49,4.7
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",26.49,4.7
Python Programming for Beginners: The #1 Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises),19.34,4.8
"Learning Python, 5th Edition",58.55,4.5
"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",33.00,4.4
Python Programming Language,7.95,4.6
Python Programming for Beginners: The Most Comprehensive Programming Guide to Become a Python Expert from Scratch in No Time. Includes Hands-On Exercises,18.97,4.7
"Fluent Python: Clear, Concise, and Effective Programming",25.50,4.7
The Big Book of Small Python Projects: 81 Easy Practice Programs,25.49,4.5
Object-Oriented Python: Master OOP by Building Games and GUIs,29.99,4.8
"Learn Python Programming: An in-depth introduction to the fundamentals of Python, 3rd Edition",37.11,4.3
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",21.49,4.7
Python: - The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),27.97,4.3
Python and Algorithmic Thinking for the Complete Beginner (2nd Edition): Learn to Think Like a Programmer,48.98,4.5
Python for Tweens and Teens - 2nd Edition (Black & White Version): Learn Computational and Algorithmic Thinking,34.99,4.5
Data Structures & Algorithms in Python (Developer's Library),69.95,5.0
Introducing Python: Modern Computing in Simple Packages,21.53,4.7
Python (2nd Edition): Learn Python in One Day and Learn It Well. Python for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 1),0.00,4.5
Beyond the Basic Stuff with Python: Best Practices for Writing Clean Code,28.02,4.7
Python,1.99,3.2
Python 3: The Comprehensive Guide to Hands-On Python Programming,55.48,4.3
"Python for Kids, 2nd Edition: A Playful Introduction to Programming",34.99,5.0
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,17.95,4.4
Python for Tweens and Teens - 2nd Edition (Full Color Version): Learn Computational and Algorithmic Thinking,47.97,4.5
Python Basics: A Practical Introduction to Python 3,39.99,4.6
Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language,23.99,4.6
"Invent Your Own Computer Games with Python, 4th Edition",20.49,4.7
"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters",36.98,4.7
Python All-in-One For Dummies (For Dummies (Computer/Tech)),29.99,4.6
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",53.99,4.6
Python Programming for Beginners: Python Programming Creak Course to Get Python Coding Well & Quick,0.00,5.0
Python Basics: A Practical Introduction to Python 3,9.99,4.6
Python Distilled (Developer's Library),36.46,4.6
Python and R for the Modern Data Scientist: The Best of Both Worlds,39.49,4.0
Think Python: How to Think Like a Computer Scientist,24.34,4.6
Python for Everybody: Exploring Data in Python 3,0.99,4.6
Robust Python: Write Clean and Maintainable Code,32.99,4.5
Boa Vs. Python,1.99,4.0
Monty Python and the Holy Grail (Special Edition),9.99,4.7
Practical Deep Learning: A Python-Based Introduction,36.99,4.9
